Period,"Manufacture of textiles, wearing apparel, leather and related products_No. (000)",Other manufacturing_No. (000),Foundation and superstructure_No. (000),"Decoration, repair and maintenance for buildings_No. (000)",Import and export trade_No. (000),Wholesale_No. (000),Retail_No. (000),Accommodation[3] and  food services_No. (000),Transportation and storage_No. (000),Postal and courier activities_No. (000),Information and communications_No. (000),Financing_No. (000),Insurance_No. (000),Real estate_No. (000),Professional and business services_No. (000),Public administration_No. (000),Education_No. (000),Human health and social work activities _No. (000),"Arts, entertainment and recreation_No. (000)",Other service activities_No. (000),Other industries_No. (000),Overall_No. (000)
6/2013 - 8/2013,18.3,105.7,239.1,74.2,474.6,48.6,330.2,278.7,314.3,18.9,122.2,188.4,53.8,152.9,322.9,105.9,193,192.7,59.3,415.1,24.4,3733.3
7/2013 - 9/2013,19.5,108,239,73.1,464.8,49.8,332.9,270.2,312.2,18.1,121.3,182.3,51.8,153.1,334.7,109.9,195.7,191.6,59.1,416.9,26.2,3730.2
8/2013 - 10/2013,17.7,108.8,243.6,74.1,467.3,47.3,330.8,271.1,306.4,16.2,123,180.6,51.8,147.8,332.5,111.1,200.8,185.1,59.3,420.7,26.5,3722.5
9/2013 - 11/2013,15.6,108.6,244.3,74.8,475.1,47,328.3,263.7,299.9,16.1,122.6,177.6,51.1,143.7,329.7,112.7,203.5,187.9,59.2,428.6,25.2,3715.2
10/2013 - 12/2013,13.3,102.9,238.5,72.7,485.1,44.4,340.9,274.5,300.1,16,125.6,180.2,51.9,144.7,328.8,111.2,199.2,193.1,57.5,433.9,24.7,3739.2
11/2013 - 1/2014,15.2,103.2,237.7,72.5,487.5,44.6,338.1,273,305.9,16,126.6,180.4,52.8,146.6,323.4,111.6,200.9,192.2,55.2,434.8,26.8,3745.2
12/2013 - 2/2014,13.5,104.1,234.1,67.5,473.5,46.3,345.7,271,302.2,15.9,123.8,182.4,53.1,148.9,327.9,111.8,201.9,181.4,53.7,430.1,25.7,3714.6
1/2014 - 3/2014,16.6,105.2,235.2,65.8,473.7,49.9,340.5,272.7,299.4,15.9,122.6,180.1,53.2,151.5,326.4,110.6,199.2,180.7,53.1,422.4,23.5,3698
2/2014 - 4/2014,14.1,107,237.2,64.9,461.1,51.1,345.2,284,301.3,16.5,117.8,181.6,49.4,152.2,335.9,109.7,197.5,176,53.7,421,21.8,3699
3/2014 - 5/2014,14.8,104.3,242,69.3,460.5,49.4,345.9,290.7,301.8,17.1,119.4,186.4,49.5,153,342.1,107.2,192.6,175.8,53.4,421.1,21.3,3717.5
4/2014 - 6/2014,18.1,111.3,241.6,71.7,442.5,48,343.9,299.1,301.2,16.1,120.5,189.5,48.5,149.3,345.9,103.4,199.8,174.1,55.7,421.8,21.5,3723.5
