Period,"Manufacture of textiles, wearing apparel, leather and related products_No. (000)",Other manufacturing_No. (000),Foundation and superstructure_No. (000),"Decoration, repair and maintenance for buildings_No. (000)",Import and export trade_No. (000),Wholesale_No. (000),Retail_No. (000),Accommodation[3] and  food services_No. (000),Transportation and storage_No. (000),Postal and courier activities_No. (000),Information and communications_No. (000),Financing_No. (000),Insurance_No. (000),Real estate_No. (000),Professional and business services_No. (000),Public administration_No. (000),Education_No. (000),Human health and social work activities _No. (000),"Arts, entertainment and recreation_No. (000)",Other service activities_No. (000),Other industries_No. (000),Overall_No. (000)
1/2021 - 3/2021,7.4,92,242.2,68,295.2,17,268.7,236,275.3,22.9,134.4,216.5,70.4,157,409.9,128.9,219.9,238.9,51.8,452.2,23,3627.6
2/2021 - 4/2021,6.7,89.7,243.3,69.5,295.2,17.4,267.7,242.1,277.4,22.8,135.1,217.1,68.9,158.7,409.8,131.2,221.4,236.3,51.6,455.4,23.3,3640.6
3/2021 - 5/2021,5.9,91,246.9,71.1,298.8,18,267.4,244,277,23.1,134.4,218.4,69.2,162.3,411.1,130.9,223.5,235.2,50.7,454.6,23.8,3657.4
4/2021 - 6/2021,4.6,90.3,251.2,71.8,299.8,18.3,265.3,247.1,276.6,22.4,133.5,216.1,69.8,165.9,414.4,134.1,223.8,236,52.9,454.7,22.6,3671.1
5/2021 - 7/2021,4.5,91.3,252.8,71,299,18.4,264.4,251.1,277.7,22.9,132.6,216.2,68.5,167.5,412.6,139,226,236.9,54.4,454.8,23.3,3684.8
6/2021 - 8/2021,4,90.2,254.6,71.6,300,18,267.5,252.6,275.7,22.8,133.5,217.2,68.9,167.3,408.3,140.1,222.7,235.8,53.7,462.8,22.6,3689.6
7/2021 - 9/2021,4.9,88,261.3,72.8,298.2,17.4,268.7,254,275.8,23.1,131.7,220.6,69,167.9,405.8,139.9,219,236.1,53.5,462.6,23,3693.1
8/2021 - 10/2021,5.5,87.2,260.7,72.8,299.8,17.5,268.4,254.8,277,23,132.8,219.2,69.3,168.3,407.4,139.2,221.3,236.4,53.7,460.6,23.7,3698.6
9/2021 - 11/2021,6.4,85.5,261.7,73.2,297.8,17,270.1,255.5,276.8,23.5,132.9,217.5,69.3,169.3,408.1,138.8,221.8,237.7,53.3,461.5,24.1,3701.6
10/2021 - 12/2021,6.4,83.7,262.3,73.8,298.8,17.5,274.5,258.8,273.4,23.3,130.8,217.2,69.4,169.1,405.5,139.3,223,237.6,52.7,464.1,24.3,3705.6
11/2021 - 1/2022,6,84.1,263.5,73.9,299.4,18,276.2,258.9,273.2,22.4,129.8,216.9,69.8,169.7,406.1,139,223.9,239.1,50.6,455,24.6,3700.1
12/2021 - 2/2022,6.1,85.9,259.4,71.8,297.8,18.7,269.8,248.7,269.7,22.6,130.8,216.8,69.2,169.4,407.4,138.1,222.4,245.3,49.7,438.7,26,3664.5
1/2022 - 3/2022,7.2,85.8,249.5,67.6,295.9,19.6,260.8,236.2,267.1,23.4,131.6,211.9,68,168.7,405.1,140.1,218.2,247.4,47.2,432.6,26.7,3610.5
2/2022 - 4/2022,5.8,84.5,250.7,65.1,291.2,18.6,255.5,230.6,259.7,23.2,128.7,208.1,65.4,167.4,395,139.8,215.6,247.8,46.8,435,24.6,3559.2
3/2022 - 5/2022,4.7,83.8,252,67.2,291.6,19.1,255.8,239.5,257.9,22.7,126.9,207.5,62.8,164.4,386.4,134.9,217.7,243.8,48.3,443,24,3553.8
4/2022 - 6/2022,4.7,83.6,258.1,70,291.5,19.3,257.3,254.4,256.4,22.4,127,204.5,62.7,164.2,387.9,132.2,224.2,238.5,49.8,438,24.9,3571.6
5/2022 - 7/2022,4.4,84.2,259.8,71.4,291,19.3,259.6,255.4,256.7,22.4,128.8,203.2,62.8,163.7,393.1,132.4,224.4,239.2,52.7,444.3,24.5,3593.1
6/2022 - 8/2022,5.6,81.9,261.8,71.9,291.3,20.4,258.4,257.9,259.7,22.4,127.6,200.5,62.8,165.3,396.3,131.8,226.3,243.2,53.6,446.4,24.3,3609.3
